PDBchain   len  method   resol   rfac  freerfac
6HGNB       40  XRAY     1.478   0.18  0.199
4LGYA     1305  XRAY      1.48  0.142  0.166
4DWRA      487  XRAY      1.48  0.144  0.178
9ETKA      291  XRAY      1.48  0.152   0.18
4FTFA      112  XRAY      1.48  0.156  0.176
6EVNA      102  XRAY      1.48  0.165  0.179
5O1LA      407  XRAY      1.48  0.167  0.189
4CAYB       97  XRAY      1.48  0.169  0.195
6YKFA      309  XRAY      1.48   0.17  0.188
6QOKA      244  XRAY      1.48  0.171  0.199
5LQ6A      219  XRAY      1.48  0.171  0.201
2BCMA      165  XRAY      1.48  0.173  0.206
2FUPA      157  XRAY      1.48   0.19  0.218
3TJMA      283  XRAY      1.48  0.192  0.224
6T3XA      214  XRAY      1.48  0.194  0.225
8K4IA      163  XRAY      1.48  0.194  0.212
3C9UA      342  XRAY      1.48  0.201  0.219
1WPUA      147  XRAY      1.48  0.214  0.238
5TVOB       59  XRAY     1.481  0.159    0.2
5T8CA      301  XRAY     1.481   0.16   0.19
5XJ5A      201  XRAY     1.481  0.189  0.213
3L46A      112  XRAY     1.482  0.182  0.205
8TFUA       84  XRAY     1.482  0.183   0.22
6ZRNC       59  XRAY     1.482   0.21  0.238
6QHGA      119  XRAY     1.483  0.154  0.194
5O75A       78  XRAY     1.483  0.197  0.224
5N86A      144  XRAY     1.484  0.146  0.172
3MC3A      134  XRAY      1.49  0.123   0.14
4NZKA      353  XRAY      1.49  0.126  0.158
8QLVA      626  XRAY      1.49   0.14  0.175
5YNXA      118  XRAY      1.49  0.142  0.198
2OVJA      201  XRAY      1.49  0.153  0.176
4E6FA      181  XRAY      1.49  0.161   0.18
2VXTI      157  XRAY      1.49  0.164  0.196
1VYKA      149  XRAY      1.49  0.164    0.2
4C2VC       44  XRAY      1.49  0.168  0.197
9FGPA      140  XRAY      1.49  0.177  0.219
7DE7A      105  XRAY      1.49  0.178  0.194
2Q5CA      196  XRAY      1.49  0.188   0.21
3TS3A      208  XRAY      1.49  0.189  0.205
7Z5ZA      343  XRAY      1.49  0.196  0.224
2Y7LA      312  XRAY      1.49  0.198  0.224
6IQCA      118  XRAY      1.49  0.216  0.278
7UX0A      122  XRAY      1.49  0.224  0.251
1MY7A      114  XRAY      1.49  0.247  0.247
7SQ4A      153  XRAY     1.493  0.231  0.266
5KHTA       47  XRAY     1.496  0.209  0.249
6BSUA      338  XRAY     1.497  0.142  0.167
3KYZA      125  XRAY     1.497  0.153  0.181
5VGBA      142  XRAY     1.497  0.167   0.21
5IU0A      479  XRAY     1.499  0.145  0.152
6UBLA      211  XRAY     1.499  0.163  0.185
4V3IA      257  XRAY     1.499   0.18  0.194
8Q29A      248  XRAY       1.5  0.114  0.156
2VFOA      559  XRAY       1.5  0.123  0.144
1OF8A      370  XRAY       1.5  0.127  0.167
3A57A      165  XRAY       1.5  0.134   0.17
5XKXA      407  XRAY       1.5  0.135  0.184
4PXYA      250  XRAY       1.5  0.137  0.161
6W54A      231  XRAY       1.5  0.141  0.166
4F8LA      145  XRAY       1.5  0.141  0.182
4UYBA      401  XRAY       1.5  0.142  0.178
3LLXA      376  XRAY       1.5  0.142  0.158
4Z67A      309  XRAY       1.5  0.144  0.174
4EADA      440  XRAY       1.5  0.147  0.192
1NZJA      298  XRAY       1.5  0.147   0.17
6BM5A      333  XRAY       1.5  0.148  0.194
6VG5A       81  XRAY       1.5  0.148  0.194
5ZIQA      171  XRAY       1.5  0.149  0.194
6D0HA      160  XRAY       1.5  0.149  0.175
4ZVCA      126  XRAY       1.5  0.149  0.189
2QSWA      100  XRAY       1.5  0.149  0.184
2VMHA      151  XRAY       1.5   0.15  0.184
8OK3A      125  XRAY       1.5  0.151  0.159
2HP0A      466  XRAY       1.5  0.152  0.174
1VQSA      116  XRAY       1.5  0.152  0.177
2PYXA      526  XRAY       1.5  0.153  0.181
3OMDA      145  XRAY       1.5  0.153  0.186
5X4BA      162  XRAY       1.5  0.154  0.181
6GDJA       88  XRAY       1.5  0.154  0.183
4LZXB       40  XRAY       1.5  0.154  0.187
5DWAA      278  XRAY       1.5  0.155  0.185
6SU3A      264  XRAY       1.5  0.155  0.199
5UEBA      147  XRAY       1.5  0.156  0.177
8AMTAAA    132  XRAY       1.5  0.156  0.175
5KLEA       97  XRAY       1.5  0.156  0.183
4DQAA      355  XRAY       1.5  0.157  0.176
6P80A      321  XRAY       1.5  0.157  0.189
2WQKA      251  XRAY       1.5  0.157  0.191
2HX5A      152  XRAY       1.5  0.157  0.182
2BWRA      401  XRAY       1.5  0.159  0.182
3SK7A      116  XRAY       1.5  0.159  0.204
3UFEA      111  XRAY       1.5  0.159    0.2
4DMIA      176  XRAY       1.5   0.16  0.182
6SJAB      153  XRAY       1.5  0.161  0.191
2WTPA      131  XRAY       1.5  0.161  0.189
5D7UA       58  XRAY       1.5  0.161  0.207
1QWOA      442  XRAY       1.5  0.162  0.186
1DJ0A      264  XRAY       1.5  0.162  0.221
5W4AA      216  XRAY       1.5  0.162  0.197
5BOBA      226  XRAY       1.5  0.163  0.189
2OFKA      183  XRAY       1.5  0.163  0.196
6CBRA      166  XRAY       1.5  0.163  0.179
3P1GA      165  XRAY       1.5  0.163  0.182
6XIPB      122  XRAY       1.5  0.163  0.199
6XIPA       86  XRAY       1.5  0.163  0.199
6KZJA       76  XRAY       1.5  0.163  0.211
4ZMKA       71  XRAY       1.5  0.163  0.201
6KZJB       51  XRAY       1.5  0.163  0.211
5X4RA      342  XRAY       1.5  0.164  0.195
1UOYA       64  XRAY       1.5  0.164  0.185
4WNDB       53  XRAY       1.5  0.164  0.182
6Q78A      418  XRAY       1.5  0.165  0.191
3RPDA      357  XRAY       1.5  0.165  0.189
6C8CA      119  XRAY       1.5  0.165  0.191
3U9RB      555  XRAY       1.5  0.166  0.183
6G44A      520  XRAY       1.5  0.166  0.183
4LX2A      392  XRAY       1.5  0.166  0.196
5GMDA      325  XRAY       1.5  0.166  0.192
2QZCA      214  XRAY       1.5  0.166  0.184
6ZP9A      196  XRAY       1.5  0.166  0.173
3CHMA      169  XRAY       1.5  0.166    0.2
7ACWA       78  XRAY       1.5  0.166  0.204
7ACWB       50  XRAY       1.5  0.166  0.204
5BMTA      239  XRAY       1.5  0.167  0.186
6WMDA      202  XRAY       1.5  0.167  0.184
2WTGA      159  XRAY       1.5  0.167  0.201
6XZUB      148  XRAY       1.5  0.167    0.2
1NKGA      508  XRAY       1.5  0.168  0.186
7YX8A      441  XRAY       1.5  0.168  0.182
9FTCA      248  XRAY       1.5  0.168  0.185
3O12A      221  XRAY       1.5  0.168  0.185
2W31A      162  XRAY       1.5  0.168  0.207
4R03A      109  XRAY       1.5  0.168  0.188
6TJ4A       75  XRAY       1.5  0.168  0.194
5X5VA      402  XRAY       1.5   0.17  0.192
4IGVA      150  XRAY       1.5  0.171  0.203
5GNFA      140  XRAY       1.5  0.171  0.192
8WACA      127  XRAY       1.5  0.172  0.205
2Z3HA      130  XRAY       1.5  0.173  0.185
5YA6A      174  XRAY       1.5  0.174    0.2
7PE0A      143  XRAY       1.5  0.174  0.185
5MAWE      133  XRAY       1.5  0.174  0.194
5TW9A       63  XRAY       1.5  0.174  0.203
8TCSA      270  XRAY       1.5  0.175  0.205
2J8KA      201  XRAY       1.5  0.175  0.184
6KFAA      162  XRAY       1.5  0.175  0.187
4YNXA       66  XRAY       1.5  0.175   0.25
5GV0A      168  XRAY       1.5  0.176  0.196
4YTDA      101  XRAY       1.5  0.176  0.206
3ILRA      370  XRAY       1.5  0.177  0.209
4WE2A      277  XRAY       1.5  0.177  0.214
8S0UA      261  XRAY       1.5  0.177  0.208
2XRHA      100  XRAY       1.5  0.177   0.21
2FULA      177  XRAY       1.5  0.178  0.205
7C8NA      137  XRAY       1.5  0.178  0.197
7S5BA       55  XRAY       1.5  0.178  0.198
8JYAA      198  XRAY       1.5  0.179  0.214
2P14A      192  XRAY       1.5  0.179  0.211
8EC3A      168  XRAY       1.5  0.179    0.2
2CIOB      121  XRAY       1.5  0.179  0.225
4X9ZA       50  XRAY       1.5  0.179  0.223
7A0QA      348  XRAY       1.5   0.18  0.208
6RYZA      283  XRAY       1.5   0.18  0.203
3T92A      121  XRAY       1.5   0.18  0.228
4DM5A      103  XRAY       1.5   0.18  0.209
2WOYA      356  XRAY       1.5  0.181  0.208
7VBOA      203  XRAY       1.5  0.181  0.194
3SHGB       61  XRAY       1.5  0.181  0.215
7BX0A      359  XRAY       1.5  0.182  0.193
6SJHA      190  XRAY       1.5  0.182  0.212
7Q9VA      180  XRAY       1.5  0.182  0.206
8HHJB      158  XRAY       1.5  0.182  0.208
3WZ3A      144  XRAY       1.5  0.182  0.207
3N6YA      137  XRAY       1.5  0.182  0.212
8HHJA      108  XRAY       1.5  0.182  0.208
2I5UA       83  XRAY       1.5  0.182  0.227
8UDSD      167  XRAY       1.5  0.183  0.227
8BOJA       96  XRAY       1.5  0.183  0.209
2Q2FA       89  XRAY       1.5  0.183  0.214
4F2LA       61  XRAY       1.5  0.183  0.212
3GG7A      254  XRAY       1.5  0.184  0.199
5LB7A      212  XRAY       1.5  0.184  0.223
2I53A      258  XRAY       1.5  0.185  0.218
6EWHA      193  XRAY       1.5  0.185  0.206
1X91A      153  XRAY       1.5  0.185  0.207
5LBDA      131  XRAY       1.5  0.185  0.207
5X9IA      339  XRAY       1.5  0.186  0.208
4B89A      249  XRAY       1.5  0.186  0.208
6ZPPA      190  XRAY       1.5  0.186  0.209
4A6QA      143  XRAY       1.5  0.187  0.211
2Z0JA      237  XRAY       1.5  0.188  0.211
6Y1YA      129  XRAY       1.5  0.188  0.211
3IFNP       40  XRAY       1.5  0.188  0.212
5M1MA      155  XRAY       1.5  0.189   0.22
1WHIA      122  XRAY       1.5  0.189  0.255
8CK2A       97  XRAY       1.5  0.189  0.215
6PFXA      397  XRAY       1.5   0.19  0.211
3SC7X      516  XRAY       1.5  0.191  0.211
7N50A      259  XRAY       1.5  0.191   0.22
1DFMA      223  XRAY       1.5  0.192  0.224
1DP7P       76  XRAY       1.5  0.192  0.228
2X49A      333  XRAY       1.5  0.193  0.225
6GKXA      145  XRAY       1.5  0.193   0.22
3RJSA       89  XRAY       1.5  0.194  0.219
7Y86A       89  XRAY       1.5  0.194  0.217
4XXXA      275  XRAY       1.5  0.195  0.218
1T61A      229  XRAY       1.5  0.195    0.2
4RRIA      136  XRAY       1.5  0.195  0.262
4J3HA       46  XRAY       1.5  0.195  0.223
7LC5A      192  XRAY       1.5  0.196  0.211
1Z3EB       73  XRAY       1.5  0.196   0.22
4YFUA      580  XRAY       1.5  0.197   0.23
7R7BA       76  XRAY       1.5  0.197  0.234
8OYWA      189  XRAY       1.5  0.198  0.216
1F46A      140  XRAY       1.5  0.198  0.217
7OC9A      134  XRAY       1.5  0.198  0.213
1LMIA      131  XRAY       1.5  0.198  0.252
7Z8ZA       63  XRAY       1.5  0.198  0.235
2WH6A      173  XRAY       1.5  0.199  0.205
1ROCA      155  XRAY       1.5    0.2  0.246
3VWCA      149  XRAY       1.5  0.201  0.235
7O6LA      103  XRAY       1.5  0.201  0.216
8JVSA       55  XRAY       1.5  0.201  0.214
1QW2A      102  XRAY       1.5  0.203  0.218
2CVIA       83  XRAY       1.5  0.203  0.231
2FAOA      309  XRAY       1.5  0.206  0.214
1EGWA       77  XRAY       1.5  0.206  0.229
3IEZA      114  XRAY       1.5  0.209  0.257
6QW0A      212  XRAY       1.5   0.21  0.236
1SZHA      161  XRAY       1.5   0.21  0.227
2WWXB      217  XRAY       1.5  0.213  0.231
1JEKA       42  XRAY       1.5  0.213  0.265
4F2FA      100  XRAY       1.5  0.217  0.243
2QVGA      143  XRAY       1.5  0.218  0.255
1Y9LA      115  XRAY       1.5  0.222  0.251
4W8PA      301  XRAY       1.5  0.224  0.242
4WPYA       94  XRAY       1.5   0.23  0.253
3BHWA      209  XRAY       1.5  0.241  0.281
1ZHVA      134  XRAY       1.5  0.241  0.249
2IT2A      200  XRAY       1.5   0.25  0.265
